,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
4,서울특별시 강동구,37.5649552,127.1738671, 장애아동과 함께하는 춤 요리 프로그램,홀트강동복지관,대한민국 서울특별시 강동구 강일동 아리수로93길 9-14,2019-06-10 2019-12-31
5,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-07 2019-12-31
6,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-05 2019-12-31
7,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-06-04 2019-12-31
8,서울특별시 강동구,37.5341056,127.1261181, 서울특별시 지역사회 전환시설 이음에서 자원봉사자를 모집합니다,이음,대한민국 서울특별시 강동구 성내동 136-18,2019-05-31 2019-12-31
9,서울특별시 강동구,,, 중증장애인 및 독거노인 목욕보조활동 비누방울,(사)평화캠프,,2019-06-01 2019-08-31
10,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-28 2019-12-31
11,서울특별시 강동구,37.558983,127.1489257, 푸르메아카데미 자원봉사자 모집,서울장애인종합복지관,대한민국 서울특별시 강동구 고덕1동,2019-05-27 2019-12-31
12,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-23 2019-12-31
13,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-22 2019-12-31
14,서울특별시 강동구,37.5449133,127.1463797, 지역아동센터 학습멘토집단상담급식보조 봉사자모집,제일강동지역아동센터,대한민국 서울특별시 강동구 명일1동 아리수로50길 50,2019-05-21 2019-12-31
